Year,Rank,TEAM,GP,W,L,Win %,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS,Champion
2023-24,1,Boston Celtics,19,16,3,0.842105263,917,116.8,108.2,8.6,60.5,2.07,18.4,27.6,76.2,52.1,12.3,55.5,58.9,92.6,55,"1,769",1
2023-24,2,Dallas Mavericks,22,13,9,0.590909091,1056,113.3,110.7,2.6,54.4,1.68,16.4,29.8,72.2,51.4,13.4,54,56.9,93.48,50.9,"2,058",0
2023-24,3,Minnesota Timberwolves,16,9,7,0.5625,768,114.8,110.9,3.9,61.8,1.96,18.2,30.2,76.2,52.5,13,53.8,57.6,93.38,51.8,"1,498",0
2023-24,4,Indiana Pacers,17,8,9,0.470588235,826,120,118.8,1.2,66.8,2.49,21.6,30.4,68.2,49.8,12.6,57.6,59.6,93.76,51.6,"1,613",0
2023-24,5,Denver Nuggets,12,7,5,0.583333333,576,109.5,110.9,-1.4,64,2.08,19.1,25.3,75.7,49.8,12.9,51.9,55.2,93.67,49,"1,120",0
2023-24,5,New York Knicks,13,7,6,0.538461538,629,118.1,120.6,-2.5,56.7,2.01,16.8,36.8,69.4,52.1,12.1,52.1,55.8,92.22,47.8,"1,210",0
2023-24,7,Oklahoma City Thunder,10,6,4,0.6,480,110.9,104.5,6.4,58.6,2.06,17.7,25.3,68.3,47.5,11.8,53,56.3,95.2,54.5,953,0
2023-24,8,Cleveland Cavaliers,12,5,7,0.416666667,576,104.7,111.1,-6.4,56.8,1.75,17,23.3,69.9,46.6,13,51,54,93.5,47.3,"1,124",0
2023-24,9,Orlando Magic,7,3,4,0.428571429,336,104.9,100,4.9,54.7,1.34,14.8,30.4,75.7,52.2,15.1,48.1,52.7,95.71,50.3,669,0
2023-24,10,LA Clippers,6,2,4,0.333333333,288,109.5,115.9,-6.4,56.5,1.49,15.9,31.1,68.3,49.6,14.7,50.6,54.7,92,45.7,550,0
2023-24,10,Milwaukee Bucks,6,2,4,0.333333333,293,116.8,119.4,-2.6,54.3,2.08,17.2,26.2,69.7,48.5,11.3,53.8,57.6,92.89,47.9,566,0
2023-24,10,Philadelphia 76ers,6,2,4,0.333333333,293,116.9,116.7,0.2,62.2,1.94,17.6,31.6,63,48.1,12.8,52.5,57.4,91.09,50.1,555,0
2023-24,13,Los Angeles Lakers,5,1,4,0.2,240,109.7,113.4,-3.7,58.7,2.22,18.6,21.2,72,47.9,11.3,54.4,57.3,96.4,48.8,485,0
2023-24,13,Miami Heat,5,1,4,0.2,240,100.7,117.7,-17,59.6,1.83,17.6,16.8,72.7,44.4,12.7,50.7,53.3,91.6,41.8,458,0
2023-24,15,New Orleans Pelicans,4,0,4,0,192,93.5,109.6,-16.2,58.2,1.08,15,29.5,79.7,52.5,18.8,44.8,48.9,95.88,40.1,383,0
2023-24,15,Phoenix Suns,4,0,4,0,192,109.3,123.2,-13.9,56,1.39,16,21.4,60.8,41.8,15.1,52.8,58.6,95.25,43,378,0
2022-23,1,Denver Nuggets,20,16,4,0.8,965,118.2,110.2,8,60.9,2.22,19.1,30,76.2,53.8,12.1,55.7,59.3,95.18,55.3,"1,919",1
2022-23,2,Miami Heat,23,13,10,0.565217391,1109,113.8,111.9,1.9,59.3,2.01,17.9,27.2,70.8,48.7,12.3,53.1,56.7,94.87,49.8,"2,189",0
2022-23,3,Boston Celtics,20,11,9,0.55,965,116.1,112.9,3.2,59.1,1.95,18.2,26.6,71.6,49.7,12.9,56,59.4,95.83,52.6,"1,929",0
2022-23,4,Los Angeles Lakers,16,8,8,0.5,773,112.7,110.3,2.4,60.7,2.09,18.2,26.1,70.9,49.8,12,52.9,57.3,99.04,53.2,"1,595",0
2022-23,5,Philadelphia 76ers,11,7,4,0.636363636,533,110.2,112.1,-2,52,1.54,15.2,29.6,76.6,52.7,13.3,51,55.5,92.08,48.3,"1,024",0
2022-23,6,Golden State Warriors,13,6,7,0.461538462,624,110.9,111.1,-0.2,67.2,1.96,19.2,30.4,70.8,50.4,14.1,52.5,55.3,101.92,49.8,"1,325",0
2022-23,6,New York Knicks,11,6,5,0.545454545,528,107.7,107.8,0,53.1,1.28,14.6,34.8,70.7,52.5,15.8,49.2,53.7,92.73,50,"1,022",0
2022-23,6,Phoenix Suns,11,6,5,0.545454545,528,116.1,118.3,-2.2,57,2.03,18.2,27,68.1,48.1,12.3,55,58.8,98.41,49.5,"1,082",0
2022-23,9,Sacramento Kings,7,3,4,0.428571429,336,109.3,111.6,-2.2,53.7,1.56,15.1,33.9,70,51.3,13.6,49.3,53.2,103.93,46.7,728,0
2022-23,10,Atlanta Hawks,6,2,4,0.333333333,288,114.3,118.8,-4.5,55.7,1.91,17.3,29.7,76.4,51.1,12.7,52.9,55.8,101.67,45.8,608,0
2022-23,10,Memphis Grizzlies,6,2,4,0.333333333,293,102.8,110,-7.2,60.9,1.79,16.5,28.1,69.6,47.4,12.8,46.5,50.4,100.18,43.6,611,0
2022-23,12,Cleveland Cavaliers,5,1,4,0.2,240,101.9,107.3,-5.4,62.5,1.39,17.5,27.6,60.6,45.1,17.1,51.3,54.4,92.6,47.4,462,0
2022-23,12,LA Clippers,5,1,4,0.2,240,116.3,122.5,-6.2,52.9,1.54,15.8,32.3,68.2,49,14.1,52.9,57.7,99.5,43.7,497,0
2022-23,12,Milwaukee Bucks,5,1,4,0.2,245,114.2,119,-4.8,60.9,1.86,18.6,27.3,78.7,51.6,13.8,55.9,58.2,101.98,47.8,520,0
2022-23,12,Minnesota Timberwolves,5,1,4,0.2,245,109.6,117.2,-7.7,59.8,1.77,17.4,22.9,69.3,46.2,13.3,52.5,56.5,94.82,45.9,481,0
2022-23,16,Brooklyn Nets,4,0,4,0,192,102.5,114.3,-11.8,65.4,1.82,18.5,17.3,63.2,40.5,13.6,51.3,54.2,90.5,44.6,361,0
2021-22,1,Golden State Warriors,22,16,6,0.727272727,1056,114.5,109.6,4.9,65.3,1.86,19.6,28.3,73.1,51.5,14.9,56.1,59,97.61,53,"2,150",1
2021-22,2,Boston Celtics,24,14,10,0.583333333,1152,110.3,106.3,3.9,66.7,1.67,18.5,27.1,71.3,50,15.4,53.3,57.4,95.79,52.9,"2,297",0
2021-22,3,Miami Heat,18,11,7,0.611111111,864,110.7,107,3.8,57.6,1.69,16.8,30.3,74.8,51.6,13.8,50.9,55,93.97,51.5,"1,694",0
2021-22,4,Dallas Mavericks,18,9,9,0.5,864,113.9,113.3,0.6,52.8,1.88,15.7,20.7,70.6,45.1,10.9,54.6,58.4,93.31,48,"1,681",0
