Year,Rank,TEAM,GP,W,L,Win %,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS,Champion,,,,,,,,
2023-24,1,Boston Celtics,82,64,18,0.780487805,3966,122.2,110.6,11.7,61.3,2.25,19.3,28.7,72.6,51.5,12.1,57.8,60.9,97.98,55.5,"8,090",1,,,,,,,,
2023-24,2,Denver Nuggets,82,57,25,0.695121951,3941,117.8,112.3,5.5,66.9,2.33,20.9,30,71.8,51.5,13,56.2,58.9,97.43,53.3,"7,996",0,,,,,,,,
2023-24,2,Oklahoma City Thunder,82,57,25,0.695121951,3961,118.3,111,7.3,60.9,2.14,19.4,25,69.8,48.4,12.5,57.3,60.8,100.85,53.8,"8,324",0,,,,,,,,
2023-24,4,Minnesota Timberwolves,82,56,26,0.682926829,3961,114.6,108.4,6.3,64.6,1.88,19.3,27.5,72.5,50.8,14.4,55.9,59.4,97.79,54.3,"8,081",0,,,,,,,,
2023-24,5,LA Clippers,82,51,31,0.62195122,3941,117.9,114.6,3.4,60.4,1.95,18.7,28.3,70.5,50.2,13.4,56.1,59.9,97.93,52,"8,040",0,,,,,,,,
2023-24,6,Dallas Mavericks,82,50,32,0.609756098,3941,117,114.9,2.1,59.6,2.05,18.5,25.7,71.1,48.5,12.4,56.2,59.2,100.6,50.6,"8,263",0,,,,,,,,
2023-24,6,New York Knicks,82,50,32,0.609756098,3946,117.3,112.4,4.9,59,1.84,17.8,33.3,72.9,52.7,13.8,54,57.4,95.96,51.5,"7,883",0,,,,,,,,
2023-24,8,Milwaukee Bucks,82,49,33,0.597560976,3961,117.6,115,2.6,61.5,2.05,19,25.5,73.1,49.9,12.8,56.8,60.1,100.51,51.1,"8,295",0,,,,,,,,
2023-24,8,New Orleans Pelicans,82,49,33,0.597560976,3941,116.5,111.9,4.6,63.4,2.07,19.4,27.8,72.5,50.5,13.2,55.8,59.1,98.7,52.4,"8,101",0,,,,,,,,
2023-24,8,Phoenix Suns,82,49,33,0.597560976,3956,116.8,113.7,3.1,63.7,1.82,19.4,29.2,71.4,51.4,15,56.5,60.3,99,52.7,"8,158",0,,,,,,,,
